Marca temporal;Características Técnicas [Sistema de instalación y puesta en marcha];Características Técnicas [Calidad de los componentes multimedia];Características Técnicas [Fluidez y velocidad de procesamiento y presentación de la información.];Aspectos estéticos [Calidad del entorno visual (sencillez, claridad y coherencia)];Aspectos estéticos [Nivel de accesibilidad y/o adaptabilidad];Aspectos estéticos [Sistema de Navegación (sencillez, claridad y coherencia)];ADECUACIÓN COMO RECURSO PARA EL APRENDIZAJE O INTERVENCIÓN [El lenguaje es adecuado a los usuarios a quienes está dirigida (profesionales de la salud)];ADECUACIÓN COMO RECURSO PARA EL APRENDIZAJE O INTERVENCIÓN [El Objetivo de la APP es coherente en cuanto a su fin como herramienta al servicio de los procesos de aprendizaje];ADECUACIÓN COMO RECURSO PARA EL APRENDIZAJE O INTERVENCIÓN [Los contenidos expuestos en la App sirven como herramienta al servicio de los procesos de aprendizaje en la práctica clínica];ADECUACIÓN COMO RECURSO PARA EL APRENDIZAJE O INTERVENCIÓN [Los componentes expuestos en la APP como gráficos y/o tablas sirven como herramienta al servicio de los procesos de aprendizaje en la práctica clínica];Déjanos tus apreciaciones sobre la APP de Calculadora Obstétrica UV;;;;;;
4-11-2018 11:56:07;5;5;4;5;5;4;5;5;5;5;sugiero teclado para inserta fecha  de FUR;;;;;;
4-11-2018 18:01:50;4;5;4;3;4;4;5;5;5;5;;;;;;;
4-11-2018 18:02:04;5;5;5;5;5;5;5;5;5;5;;;;;;;
4-11-2018 18:04:31;4;4;5;5;4;5;5;5;5;5;"Dentro de todas las cosas es una buena herramienta, mas el único detalle que podría poner como un ""pero"", es que para poder ingresar los datos, específicamente las fechas, haya que navegar en un listado de opciones, volviendo algo lento el proceso del ingreso de ñas fechas. Quizás si se pudiera implementar como opción el diaponer de un teclado numérico para poder escribir las fechas, podría ser más expedita.
";;;;;;
4-11-2018 18:10:08;5;5;3;4;3;3;5;5;5;5;Solo comentar que para colocar la fecha de la FUR se mueven mucho los numeros, lo ideal seria si se pudieran escribir, lo demás todo bien :D ;;;;;;
4-11-2018 18:17:43;5;5;5;5;5;5;5;5;5;5;Es sencilla, fácil de utilizar y completa.;;;;;;
4-11-2018 18:26:41;2;2;2;3;3;3;3;3;3;3;.;;;;;;
4-11-2018 19:09:34;3;3;1;4;3;2;4;4;5;5;;;;;;;
4-11-2018 19:13:03;2;2;2;3;3;3;3;3;3;3;;;;;;;
4-11-2018 19:20:24;3;3;3;3;3;3;3;3;3;3;;;;;;;
4-11-2018 20:10:06;5;5;5;5;5;5;5;5;5;5;Es una herramienta demasiado útil, que puede ser ocupada y entendida por cualquier usuario;;;;;;
4-11-2018 20:21:21;5;5;5;5;5;5;5;5;5;5;Me parece muy útil la aplicación debido a que arroja resultados correctos en unos segundos.;;;;;;
4-11-2018 20:27:28;5;5;4;5;5;5;5;5;5;5;Es una excelente aplicación, bastante práctica y muy útil;;;;;;
4-11-2018 21:13:44;5;5;5;5;5;5;5;5;5;5;Es una herramienta bastante útil, ya que facilita el análisis inmediato del estado y progreso de una gestación, entregando datos de interés para el adecuado control y seguimiento de una paciente.;;;;;;
4-11-2018 21:18:57;5;5;5;5;5;5;5;5;5;5;Es una aplicación de gran utilidad para ala obtención rápida de datos, ademas de que es aplicada a los estándares del país.;;;;;;
4-11-2018 21:46:52;4;3;4;4;5;4;5;5;5;5;Es una app muy útil para tener una respuesta rápida;;;;;;
4-11-2018 21:59:46;5;4;4;4;5;4;5;5;5;5;;;;;;;
4-11-2018 22:15:21;5;5;5;5;5;5;5;5;5;5;La aplicación es demasiado útil y simple de usar y ha sido de gran ayuda durante las prácticas clínicas. ;;;;;;
4-11-2018 22:17:32;5;4;5;5;5;5;5;5;4;4;Hay un problema con los días de la edad gestacional, algunas veces lo toma como menos días ;;;;;;
4-11-2018 23:00:07;5;5;5;5;5;5;5;5;5;5;Personalmente, la aplicación me ha servido mucho, la encuentro muy sencilla y práctica, además es útil para cualquier profesional de la salud que quiera utilizarla.;;;;;;
4-11-2018 23:19:07;5;5;5;5;5;5;5;5;5;5;;;;;;;
4-11-2018 23:52:10;4;4;5;5;4;4;5;5;4;4;La uso siempre, es la más exacta que he encontrado ;;;;;;
4-12-2018 2:58:42;5;5;5;5;5;5;5;5;5;5;Muy buen aporte como herramienta de trabajo diario facilita mucho el proceso;;;;;;
4-12-2018 11:15:16;5;5;5;5;5;5;5;5;5;5;Muy buena, de gran utilidad para los estudiantes y profesionales del área de la obstetricia. ;;;;;;
4-12-2018 12:19:48;4;4;5;4;4;4;5;5;4;4;;;;;;;
4-12-2018 13:59:39;5;5;5;5;5;5;5;5;5;5;La ocupe mucho en todo mi embarazo;;;;;;
4-12-2018 16:33:01;3;4;5;5;4;4;4;5;4;5;Es un poco confuso en la parte de fur por ecografía el item que dice dias ecografia, no se entiende a que va enfocado.;;;;;;
4-12-2018 17:11:29;5;5;5;5;5;4;5;5;5;5;Como sugerencia se debería poder poner los días para calcular edad gestacional con un teclado, ya que sería más rápido y fácil. Todo lo demás super :);;;;;;
4-12-2018 19:19:52;5;5;5;5;5;5;5;5;5;5;Excelente;;;;;;
4-12-2018 21:20:48;5;5;5;5;5;5;5;5;5;5;Es una excelente herramienta, muy beneficiosa, fácil de usar y rápida para utilizar la en campo clínico. ;;;;;;
4-12-2018 21:23:24;5;5;5;5;5;5;5;5;5;5;;;;;;;
4-12-2018 21:26:56;5;5;4;5;5;5;5;5;5;5;es una excelente aplicacion, que nos facilita calcular la edad gestacional;;;;;;
4-12-2018 22:37:17;4;5;5;5;5;5;5;5;5;5;;;;;;;
4-13-2018 10:36:05;5;5;5;5;5;5;5;5;5;5;Herramienta de mucha utilidad, si encuentro que la app es muy sensible al tacto, si quiero mover solo un poco, la pagina se mueve mas abajo o arriba. Pero lo demas muy bien;;;;;;
4-13-2018 10:43:12;5;5;5;5;5;5;5;5;5;5;Es una app muy útil en nuestra carrera ya sea para lo académico como en la práctica clínica. Gracias! ;;;;;;
4-13-2018 11:20:16;5;5;5;5;5;5;5;5;5;5;;;;;;;
4-13-2018 11:23:42;5;5;5;5;5;5;5;5;5;5;;;;;;;
4-13-2018 11:43:26;5;5;5;5;5;5;5;5;5;5;Muy buena, como interna me ha servido mucho. Ademas, en el campo clinico en donde estoy todos los matrones lo utilizan ;;;;;;
4-13-2018 16:37:39;5;5;5;4;5;5;5;5;5;5;;;;;;;
4-13-2018 16:47:21;5;5;4;5;5;5;5;5;5;5;;;;;;;
4-14-2018 10:44:34;5;5;5;5;5;5;5;5;5;5;Muy buena app;;;;;;
4-16-2018 11:19:15;5;5;5;5;5;5;5;5;5;5;;;;;;;